"skill_id","skills","demand_count","avg_salary"
0,"sql","42","99120"
181,"excel","31","94132"
182,"tableau","27","104233"
1,"python","20","116516"
183,"power bi","12","90448"
5,"r","8","114629"
186,"sas","7","98959"
7,"sas","7","98959"
215,"flow","7","79042"
9,"javascript","7","71721"
79,"oracle","6","99830"
185,"looker","5","130400"
196,"powerpoint","5","100800"
192,"sheets","5","84500"
188,"word","4","101250"
4,"java","4","82500"
77,"bigquery","3","115833"
81,"gcp","3","115833"
97,"hadoop","3","101993"
57,"postgresql","3","96667"
195,"sharepoint","3","91667"
234,"confluence","3","87167"
198,"outlook","3","86667"
8,"go","3","73333"
92,"spark","3","62467"
