"job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","company_name"
502610,"Lead Business Intelligence Engineer","Anywhere","Full-time","220000.0","2023-08-29 18:26:36","Noom"
112859,"Manager II, Applied Science - Marketplace Dynamics","Anywhere","Full-time","214500.0","2023-12-18 08:02:37","Uber"
998056,"Analyst","Anywhere","Full-time","200000.0","2023-10-04 11:01:48","Multicoin Capital"
1069582,"Analyst","Anywhere","Full-time","200000.0","2023-12-21 13:01:17","Multicoin Capital"
17458,"Senior Economy Designer","Anywhere","Full-time","190000.0","2023-06-21 18:11:35","Harnham"
416185,"Staff Revenue Operations Analyst","Anywhere","Full-time","170500.0","2023-12-21 09:50:43","Gladly"
1099753,"REMOTE - Business Intelligence Analyst (Leadership Role) - GCP","Anywhere","Full-time","162500.0","2023-10-11 12:01:45","CyberCoders"
1313937,"Manager Analytics and Reporting","Anywhere","Full-time","145000.0","2023-06-22 13:01:41","CyberCoders"
106225,"Business Strategy Analyst Senior (Hybrid)","Anywhere","Full-time","138640.0","2023-06-30 14:01:54","USAA"
661103,"Marketing Analytics Manager","Anywhere","Full-time","134550.0","2023-08-03 19:59:22","Get It Recruit - Marketing"
